,platform,searchTime,searchQuery,searchInteractionURIs,Time_Short,Time,hour,hour_adj,day
120,IPHONE,2023-09-15T03:51:27.117Z[UTC],galantis,['spotify:artist:4sTQVOfp9vEMCemLw50sbu'],2023-09-15T03:51:27,2023-09-15 03:51:27,3,19,15
121,IPHONE_ARM64,2023-09-15T03:52:13.864Z[UTC],never,[],2023-09-15T03:52:13,2023-09-15 03:52:13,3,19,15
122,IPHONE,2023-09-15T03:52:14.371Z[UTC],never be ,['spotify:track:5WI2ltQIdwgzf1SNE76JyR'],2023-09-15T03:52:14,2023-09-15 03:52:14,3,19,15
123,IPHONE,2023-09-15T05:31:07.538Z[UTC],greed,['spotify:artist:45dkTj5sMRSjrmBSBeiHym'],2023-09-15T05:31:07,2023-09-15 05:31:07,5,21,15
124,IPHONE,2023-09-15T05:41:12.064Z[UTC],rich bruan,['spotify:artist:2IDLDx25HU1nQMKde4n61a'],2023-09-15T05:41:12,2023-09-15 05:41:12,5,21,15
125,IPHONE,2023-09-21T06:37:10.044Z[UTC],post m,"['spotify:artist:246dkjvS1zLTtiykXe5h60', 'spotify:search:post+malone']",2023-09-21T06:37:10,2023-09-21 06:37:10,6,22,21
126,IPHONE,2023-09-21T06:38:00.451Z[UTC],post malone,"['spotify:artist:246dkjvS1zLTtiykXe5h60', 'spotify:playlist:1jlgagZD8ZXkUFdIgYuz8m']",2023-09-21T06:38:00,2023-09-21 06:38:00,6,22,21
127,IPHONE_ARM64,2023-09-26T05:45:18.481Z[UTC],t,[],2023-09-26T05:45:18,2023-09-26 05:45:18,5,21,26
128,IPHONE,2023-09-26T05:45:20.436Z[UTC],taylor,['spotify:artist:06HL4z0CvFAxyc27GXpf02'],2023-09-26T05:45:20,2023-09-26 05:45:20,5,21,26
129,IPHONE,2023-10-04T03:21:23.698Z[UTC],worth jt,"['spotify:track:4XiGKQqbmnMVxDzUj6j3f2', 'spotify:track:41Fflg7qHiVOD6dEPvsCzO']",2023-10-04T03:21:23,2023-10-04 03:21:23,3,19,4
130,IPHONE,2023-10-04T03:39:20.509Z[UTC],m I’m,[],2023-10-04T03:39:20,2023-10-04 03:39:20,3,19,4
131,IPHONE_ARM64,2023-10-04T03:39:42.047Z[UTC],im t,[],2023-10-04T03:39:42,2023-10-04 03:39:42,3,19,4
132,IPHONE_ARM64,2023-10-04T03:39:42.932Z[UTC],im trynn,[],2023-10-04T03:39:42,2023-10-04 03:39:42,3,19,4
133,IPHONE_ARM64,2023-10-04T03:39:43.335Z[UTC],im trynna,[],2023-10-04T03:39:43,2023-10-04 03:39:43,3,19,4
134,IPHONE_ARM64,2023-10-04T03:39:44.718Z[UTC],im trynna fuck ,[],2023-10-04T03:39:44,2023-10-04 03:39:44,3,19,4
135,IPHONE,2023-10-04T03:39:49.932Z[UTC],im trynna fuck you baby hop,[],2023-10-04T03:39:49,2023-10-04 03:39:49,3,19,4
136,IPHONE_ARM64,2023-10-04T03:39:55.152Z[UTC],im trynna fuck you baby,[],2023-10-04T03:39:55,2023-10-04 03:39:55,3,19,4
137,IPHONE_ARM64,2023-10-04T03:39:56.310Z[UTC],im trynna fuc,[],2023-10-04T03:39:56,2023-10-04 03:39:56,3,19,4
138,IPHONE_ARM64,2023-10-04T03:39:57.261Z[UTC],im,[],2023-10-04T03:39:57,2023-10-04 03:39:57,3,19,4
139,IPHONE_ARM64,2023-10-04T03:40:00.062Z[UTC],hopefully ,[],2023-10-04T03:40:00,2023-10-04 03:40:00,3,19,4
140,IPHONE,2023-10-04T03:40:01.135Z[UTC],hopefully we d,['spotify:search:hopefully%2C+we+don%27t+have+no+babies'],2023-10-04T03:40:01,2023-10-04 03:40:01,3,19,4
141,IPHONE,2023-10-04T03:40:02.987Z[UTC],"hopefully, we don't have no babies",['spotify:track:6XHVuErjQ4XNm6nDPVCxVX'],2023-10-04T03:40:02,2023-10-04 03:40:02,3,19,4
142,IPHONE_ARM64,2023-10-04T03:46:29.483Z[UTC],amoo,[],2023-10-04T03:46:29,2023-10-04 03:46:29,3,19,4
143,IPHONE,2023-10-04T03:46:35.863Z[UTC],smooth jazz,['spotify:playlist:37i9dQZF1DX4wta20PHgwo'],2023-10-04T03:46:35,2023-10-04 03:46:35,3,19,4
144,IPHONE_ARM64,2023-10-06T04:14:31.654Z[UTC],strange,[],2023-10-06T04:14:31,2023-10-06 04:14:31,4,20,6
145,IPHONE,2023-10-06T04:14:32.382Z[UTC],strangers,['spotify:track:5mjYQaktjmjcMKcUIcqz4s'],2023-10-06T04:14:32,2023-10-06 04:14:32,4,20,6
146,IPHONE_ARM64,2023-10-06T04:14:40.822Z[UTC],s,[],2023-10-06T04:14:40,2023-10-06 04:14:40,4,20,6
147,IPHONE,2023-10-06T04:14:42.454Z[UTC],strangers,['spotify:track:1imCWWeN4PZAaXoBYuER9O'],2023-10-06T04:14:42,2023-10-06 04:14:42,4,20,6
148,IPHONE_ARM64,2023-10-10T01:49:24.730Z[UTC],i feel ,[],2023-10-10T01:49:24,2023-10-10 01:49:24,1,17,10
149,IPHONE_ARM64,2023-10-10T01:49:26.018Z[UTC],i feel it co,[],2023-10-10T01:49:26,2023-10-10 01:49:26,1,17,10
150,IPHONE_ARM64,2023-10-10T01:49:36.493Z[UTC],i feel it comkng in the air ton,[],2023-10-10T01:49:36,2023-10-10 01:49:36,1,17,10
151,IPHONE,2023-10-10T01:49:37.142Z[UTC],i feel it comkng in the air tonight,['spotify:track:18AXbzPzBS8Y3AkgSxzJPb'],2023-10-10T01:49:37,2023-10-10 01:49:37,1,17,10
152,IPHONE_ARM64,2023-10-10T19:39:29.686Z[UTC],yaaa,[],2023-10-10T19:39:29,2023-10-10 19:39:29,19,11,10
153,IPHONE_ARM64,2023-10-10T19:39:30.097Z[UTC],ya,[],2023-10-10T19:39:30,2023-10-10 19:39:30,19,11,10
154,IPHONE,2023-10-10T19:39:34.035Z[UTC],yaat,['spotify:track:2YSzYUF3jWqb9YP9VXmpjE'],2023-10-10T19:39:34,2023-10-10 19:39:34,19,11,10
155,IPHONE,2023-10-10T19:39:58.823Z[UTC],gyat,['spotify:track:4rXLjWdF2ZZpXCVTfWcshS'],2023-10-10T19:39:58,2023-10-10 19:39:58,19,11,10
156,IPHONE_ARM64,2023-10-11T03:50:45.619Z[UTC],bi,[],2023-10-11T03:50:45,2023-10-11 03:50:45,3,19,11
157,IPHONE_ARM64,2023-10-11T03:50:48.523Z[UTC],bite back woth ,[],2023-10-11T03:50:48,2023-10-11 03:50:48,3,19,11
158,IPHONE,2023-10-11T03:50:49.073Z[UTC],bite back woth it,"['spotify:track:2jeZAkBX4ANm4VA2IqZ3Po', 'spotify:album:3cJPtWjwGcs6DRakCna7c1', 'spotify:show:4hynVIVVRuwygDb7vUVtAt', 'spotify:track:0n5OzgqGKHzSNVmqNSTloF', 'spotify:track:3cZ4FuXSKvzqFiqMUf2Egh', 'spotify:track:05wnneBPEhlLNnw4NsnESh', 'spotify:track:2WVwBNtzstVflbwYQukU3A']",2023-10-11T03:50:49,2023-10-11 03:50:49,3,19,11
159,IPHONE,2023-10-11T03:51:25.903Z[UTC],back with it,['spotify:track:20on25jryn53hWghthWWW3'],2023-10-11T03:51:25,2023-10-11 03:51:25,3,19,11
160,IPHONE_ARM64,2023-10-11T03:52:16.652Z[UTC],mmm eight ,[],2023-10-11T03:52:16,2023-10-11 03:52:16,3,19,11
161,IPHONE_ARM64,2023-10-11T03:52:18.511Z[UTC],mmm eight bac,[],2023-10-11T03:52:18,2023-10-11 03:52:18,3,19,11
162,IPHONE_ARM64,2023-10-11T03:52:22.136Z[UTC],m,[],2023-10-11T03:52:22,2023-10-11 03:52:22,3,19,11
163,IPHONE_ARM64,2023-10-11T03:52:23.435Z[UTC],ti,[],2023-10-11T03:52:23,2023-10-11 03:52:23,3,19,11
164,IPHONE,2023-10-11T03:52:26.478Z[UTC],tight back,['spotify:track:5A1w94uzc1kO1Zhe8WWxC3'],2023-10-11T03:52:26,2023-10-11 03:52:26,3,19,11
165,IPHONE_ARM64,2023-10-11T03:56:20.882Z[UTC],ri,[],2023-10-11T03:56:20,2023-10-11 03:56:20,3,19,11
166,IPHONE_ARM64,2023-10-11T03:56:21.056Z[UTC],rig,[],2023-10-11T03:56:21,2023-10-11 03:56:21,3,19,11
167,IPHONE_ARM64,2023-10-11T03:56:21.867Z[UTC],right ,[],2023-10-11T03:56:21,2023-10-11 03:56:21,3,19,11
168,IPHONE_ARM64,2023-10-11T03:56:22.129Z[UTC],right b,[],2023-10-11T03:56:22,2023-10-11 03:56:22,3,19,11
169,IPHONE_ARM64,2023-10-11T03:56:24.068Z[UTC],right back with,[],2023-10-11T03:56:24,2023-10-11 03:56:24,3,19,11
170,IPHONE_ARM64,2023-10-11T03:56:24.347Z[UTC],right back wit,[],2023-10-11T03:56:24,2023-10-11 03:56:24,3,19,11
171,IPHONE,2023-10-11T03:56:25.937Z[UTC],right back wit it,"['spotify:track:4YfF0cZEBtCju02dhXfifE', 'spotify:track:4YfF0cZEBtCju02dhXfifE', 'spotify:track:6PYnUsNEpYC7A4BS2sjw3L', 'spotify:playlist:12SSyvDBLtTELgJEKROGL4']",2023-10-11T03:56:25,2023-10-11 03:56:25,3,19,11
172,IPHONE_ARM64,2023-10-11T03:57:16.489Z[UTC],bute bac,[],2023-10-11T03:57:16,2023-10-11 03:57:16,3,19,11
173,IPHONE_ARM64,2023-10-11T03:57:19.758Z[UTC],bite,[],2023-10-11T03:57:19,2023-10-11 03:57:19,3,19,11
174,IPHONE_ARM64,2023-10-11T03:57:21.169Z[UTC],bite back w,[],2023-10-11T03:57:21,2023-10-11 03:57:21,3,19,11
175,IPHONE_ARM64,2023-10-11T03:57:21.440Z[UTC],bite back wit,[],2023-10-11T03:57:21,2023-10-11 03:57:21,3,19,11
176,IPHONE,2023-10-11T03:57:22.462Z[UTC],bite back wit it,"['spotify:track:1lXofGJvQoTFSMTq616jwR', 'spotify:track:2jeZAkBX4ANm4VA2IqZ3Po', 'spotify:track:3xx6rDw2QZKSCrdoAqjEV9', 'spotify:track:1lmVi0NhAML7pd6viyYqMH', 'spotify:track:1lmVi0NhAML7pd6viyYqMH', 'spotify:track:6MgqHZFAVhqe16zCX8VVsl', 'spotify:track:5pedH2sXKvKCYaL51uzCpS']",2023-10-11T03:57:22,2023-10-11 03:57:22,3,19,11
177,IPHONE_ARM64,2023-10-11T03:58:39.159Z[UTC],t,[],2023-10-11T03:58:39,2023-10-11 03:58:39,3,19,11
178,IPHONE,2023-10-11T03:58:43.621Z[UTC],top 100,[],2023-10-11T03:58:43,2023-10-11 03:58:43,3,19,11
179,IPHONE,2023-10-11T03:58:45.069Z[UTC],top ,"['spotify:playlist:37i9dQZEVXbLRQDuF5jeBp', 'spotify:playlist:37i9dQZEVXbMDoHDwVN2tF']",2023-10-11T03:58:45,2023-10-11 03:58:45,3,19,11
180,IPHONE_ARM64,2023-10-11T04:01:21.123Z[UTC],t,[],2023-10-11T04:01:21,2023-10-11 04:01:21,4,20,11
181,IPHONE,2023-10-11T04:01:27.266Z[UTC],wit me,"['spotify:track:3oDkdAySo1VQQG0ptV7uwa', 'spotify:track:7A20WnLkjtZU2d7hIB6Ziu', 'spotify:track:6UKe5LGhNyY7sKF71ZPL5D', 'spotify:track:4FMtPpDo4l4AJitaFxvaMV', 'spotify:track:4i9q3KdgfC90Xy2jzrWREn']",2023-10-11T04:01:27,2023-10-11 04:01:27,4,20,11
182,IPHONE_ARM64,2023-10-11T04:04:25.971Z[UTC],fightwit me,[],2023-10-11T04:04:25,2023-10-11 04:04:25,4,20,11
183,IPHONE_ARM64,2023-10-11T04:04:27.404Z[UTC],fight fawit me,[],2023-10-11T04:04:27,2023-10-11 04:04:27,4,20,11
184,IPHONE_ARM64,2023-10-11T04:04:43.331Z[UTC],t,[],2023-10-11T04:04:43,2023-10-11 04:04:43,4,20,11
185,IPHONE_ARM64,2023-10-11T04:04:46.224Z[UTC],top 100 ,[],2023-10-11T04:04:46,2023-10-11 04:04:46,4,20,11
186,IPHONE,2023-10-11T04:04:47.572Z[UTC],top 100 rap,"['spotify:playlist:1mjARvpqd27a1RJ1RCkctm', 'spotify:playlist:6UeSakyzhiEt4NB3UAd6NQ', 'spotify:playlist:3JlmwHsilEdmIsZHdAqwVV']",2023-10-11T04:04:47,2023-10-11 04:04:47,4,20,11
187,IPHONE,2023-10-11T04:59:21.011Z[UTC],top 100 ra,['spotify:playlist:4DRucbDRrVaqdf9AlGur43'],2023-10-11T04:59:21,2023-10-11 04:59:21,4,20,11
188,IPHONE,2023-10-11T05:00:10.803Z[UTC],roddi ,['spotify:artist:757aE44tKEUQEqRuT6GnEB'],2023-10-11T05:00:10,2023-10-11 05:00:10,5,21,11
189,IPHONE_ARM64,2023-10-11T05:48:54.309Z[UTC],roddi,[],2023-10-11T05:48:54,2023-10-11 05:48:54,5,21,11
190,IPHONE_ARM64,2023-10-11T05:48:57.487Z[UTC],will you ,[],2023-10-11T05:48:57,2023-10-11 05:48:57,5,21,11
191,IPHONE_ARM64,2023-10-11T05:49:00.183Z[UTC],will you breK,[],2023-10-11T05:49:00,2023-10-11 05:49:00,5,21,11
192,IPHONE_ARM64,2023-10-11T05:49:00.421Z[UTC],will you bre,[],2023-10-11T05:49:00,2023-10-11 05:49:00,5,21,11
193,IPHONE_ARM64,2023-10-11T05:49:01.577Z[UTC],will you brea,[],2023-10-11T05:49:01,2023-10-11 05:49:01,5,21,11
194,IPHONE_ARM64,2023-10-11T05:49:04.096Z[UTC],will you break bread with,[],2023-10-11T05:49:04,2023-10-11 05:49:04,5,21,11
195,IPHONE,2023-10-11T05:49:04.725Z[UTC],will you break bread with me,"['spotify:track:20iSqramPji5ojekwLk6Ye', 'spotify:track:7r81Tfgk0ECt7FXPSUrAPd']",2023-10-11T05:49:04,2023-10-11 05:49:04,5,21,11
196,IPHONE_ARM64,2023-10-11T05:52:42.392Z[UTC],w break bread with me,[],2023-10-11T05:52:42,2023-10-11 05:52:42,5,21,11
197,IPHONE,2023-10-11T05:52:42.729Z[UTC], break bread with me,['spotify:playlist:1QRcLsCck8sKyo3r0Pozq1'],2023-10-11T05:52:42,2023-10-11 05:52:42,5,21,11
198,IPHONE_ARM64,2023-10-11T07:02:47.518Z[UTC],can you break ,[],2023-10-11T07:02:47,2023-10-11 07:02:47,7,23,11
199,IPHONE_ARM64,2023-10-11T07:02:48.492Z[UTC],can you break brea,[],2023-10-11T07:02:48,2023-10-11 07:02:48,7,23,11
200,IPHONE_ARM64,2023-10-11T07:02:48.836Z[UTC],can you break bread,[],2023-10-11T07:02:48,2023-10-11 07:02:48,7,23,11
201,IPHONE,2023-10-11T07:02:56.591Z[UTC],can you break bread with m,[],2023-10-11T07:02:56,2023-10-11 07:02:56,7,23,11
202,IPHONE_ARM64,2023-10-11T07:02:57.456Z[UTC],can you break bread ,[],2023-10-11T07:02:57,2023-10-11 07:02:57,7,23,11
203,IPHONE_ARM64,2023-10-11T07:02:57.813Z[UTC],can you break bre,[],2023-10-11T07:02:57,2023-10-11 07:02:57,7,23,11
204,IPHONE_ARM64,2023-10-11T07:02:58.475Z[UTC],can you br,[],2023-10-11T07:02:58,2023-10-11 07:02:58,7,23,11
205,IPHONE_ARM64,2023-10-11T07:03:01.091Z[UTC],break,[],2023-10-11T07:03:01,2023-10-11 07:03:01,7,23,11
206,IPHONE_ARM64,2023-10-11T07:03:03.792Z[UTC],break br,[],2023-10-11T07:03:03,2023-10-11 07:03:03,7,23,11
207,IPHONE_ARM64,2023-10-11T07:03:07.454Z[UTC],break br,[],2023-10-11T07:03:07,2023-10-11 07:03:07,7,23,11
208,IPHONE,2023-10-20T16:43:48.760Z[UTC],don omar,['spotify:artist:33ScadVnbm2X8kkUqOkC6Z'],2023-10-20T16:43:48,2023-10-20 16:43:48,16,8,20
209,IPHONE_ARM64,2023-10-20T16:44:52.847Z[UTC],don oma,[],2023-10-20T16:44:52,2023-10-20 16:44:52,16,8,20
210,IPHONE_ARM64,2023-10-20T16:44:58.864Z[UTC],ivy qu,[],2023-10-20T16:44:58,2023-10-20 16:44:58,16,8,20
211,IPHONE,2023-10-20T16:44:59.535Z[UTC],ivy quee,"['spotify:artist:6p2442ymrT9lZEuCZJdYcH', 'spotify:artist:33ScadVnbm2X8kkUqOkC6Z']",2023-10-20T16:44:59,2023-10-20 16:44:59,16,8,20
212,IPHONE_ARM64,2023-10-24T03:52:19.601Z[UTC],h,[],2023-10-24T03:52:19,2023-10-24 03:52:19,3,19,24
213,IPHONE,2023-10-24T03:52:20.977Z[UTC],high all,"['spotify:track:14OxJlLdcHNpgsm4DRwDOB', 'spotify:track:62N2JSA0jHmSH7Va9t7hIf', 'spotify:track:14OxJlLdcHNpgsm4DRwDOB', 'spotify:playlist:7qf1aRjaEYCc9tmgVqji6K']",2023-10-24T03:52:20,2023-10-24 03:52:20,3,19,24
